Nombre,ApellidoPaterno,ApellidoMaterno,Matricula,CURP
Juan Carlos,Perez,Garcia,20210001,PEGJ010101HDFRRN09
Maria Fernanda,Lopez,Hernandez,20210002,LOHM020202MDFRRN08
Pedro Antonio,Martinez,Flores,20210003,MAFP030303HDFRRN07
Ana Gabriela,Sanchez,Ruiz,20210004,SARA040404MDFRRN06
Luis Alberto,Gomez,Diaz,20210005,GODL050505HDFRRN05
Sofia Elizabeth,Castro,Mendoza,20210006,CAMS060606MDFRRN04
Diego Alejandro,Vargas,Ortega,20210007,VODA070707HDFRRN03
Valentina Nicole,Ramirez,Silva,20210008,RASV080808MDFRRN02
Jose Manuel,Cruz,Reyes,20210009,CRJM090909HDFRRN01
Camila Andrea,Morales,Aguilar,20210010,MOAC101010MDFRRN00
